iid,i_year,i_Action,i_Adventure,i_Animation,i_Children's,i_Comedy,i_Crime,i_Documentary ,i_Drama ,i_Fantasy ,i_Film-Noir ,i_Horror ,i_Musical ,i_Mystery ,i_Romance ,i_Sci-Fi ,i_Thriller ,i_War ,i_Western,i_Other
1,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,6,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
18,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,6,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
22,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
29,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
32,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
37,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
39,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
48,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
51,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
52,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
55,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
56,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
57,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
66,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
67,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
69,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
70,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
71,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
73,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
74,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
77,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
78,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
81,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
82,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
84,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
85,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
89,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
90,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
91,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
92,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
93,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
94,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
96,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
97,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
98,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
99,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
101,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
102,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
107,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
110,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
111,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
112,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
121,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
122,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
124,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
125,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
126,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
130,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
132,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
133,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
134,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
136,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
142,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
